"PCBWay Bom Quotation, Product No.:T-3P2W1045433A",,,,,,,,,,,,
Item #,*Designator,*Qty,*Mfg Part #,Vendor Part #,*Package/Footprint,*Unit Price(2 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,"C1, C10, C2, C3, C4, C5",6,100n,,0402,$0.004,$0.048,,CC0402KRX7R6BB104,,,
2,"C11, C12",2,10p,,0402,$0.007,$0.028,,TCC0402COG100J500AT,,,
3,"C13, C6",2,10u,,0603,$0.048,$0.192,,0603X106M100NT,,,
4,C14,1,22u,,0805,$0.162,$0.324,,GRM21BR60J226ME39L,,,
5,"C15, C16, C17, C18, C19, C21, C22, C25",8,0.1uf,,0402,$0.003,$0.048,,0402B104K250NT,,,
6,"C20, C26, C28",3,10uf,,0603,$0.036,$0.216,,0603X106M100NT,,,
7,"C23, C24",2,22pF,,0402,$0.010,$0.040,,CC0402JRNPO7BN220,,,
8,"C27, C29, C38",3,22uF,,0805,$0.065,$0.390,,GRM21BR60J226ME39L,,,
9,C37,1,2.2uf,,0603,$0.077,$0.154,,TCC0603X5R225K100CT,,,
10,"C41, C42",2,0.1u,,0402,$0.010,$0.040,,CC0402KRX7R6BB104,,,
11,C43,1,4.7u,,0402,$0.065,$0.130,,0402X475M6R3NT,,,
12,C7,1,10n,,0402,$0.016,$0.032,,0402B103K500NT,,,
13,"C8, C9",2,1u,,0402,$0.015,$0.060,,0402X105K100NT,,,
14,"D1, D2",2,RED,,0201,$0.180,$0.720,,XL-0201SURC,XL-0201SURC,,
15,D3,1,LTST-S270GKT,,LTST_S270GKT,$0.116,$0.232,,,,,
16,FB1,1,FerriteBead,,0603,,,,,Sunlord GZ1608D121TF,,
17,J1,1,39357-0004,,393570004,$3.018,$6.036,,,,,
18,"J10, J5",2,1769,,1769,$1.173,$4.692,,,Adafruit Industries LLC,,
19,J2,1,Conn_01x04_Pin,,PinHeader_1x04_P2.54mm_Vertical,$0.322,$0.644,,B-2100S04P-A110, B-2100S04P-A110,,
20,"J4, J7",2,1985849,,PHOENIX_1985849,$1.454,$5.816,,,,,
21,J6,1,1050171001,,MOLEX_1050171001,$0.841,$1.682,,,,,
22,"J8, J9",2,PRT-16766,,CONN_BM04B-SRSS-TB_SPK,$1.173,$4.692,,,PRT-16766,,
23,"L1, L2",2,22uH,,0603,$0.066,$0.264,,CMI160808J220KT,CMI160808J220KT brand FH,,
24,L4,1,10uH,,0603,$0.458,$0.916,,SCL1608S100KSP,W SCL1608S100KSP  brand Sunltech.,,
25,LS1,1,CMI-9653S-SMT,,CUI_CMI-9653S-SMT,$5.019,$10.038,,CMI-9653S-SMT-TR,"CMI-9653S-SMT-TR
",,
26,"R1, R10, R11",3,10k,,0402,$0.004,$0.024,,RC0402FR-0710KL,,,
27,"R12, R5, R9",3,100,,0402,$0.004,$0.024,,RC0402FR-07100RL,,,
28,"R13, R14, R8",3,150,,0402,$0.004,$0.024,,0402WGF1500TCE,,,
29,R15,1,400,,0805,$0.833,$1.666,,TR0805B400RP0525Z,,,
30,"R16, R17",2,4.7k,,0402,$0.005,$0.020,,0402WGF4701TCE,,,
31,"R2, R7",2,1k,,0402,$0.006,$0.024,,RC0402FR-071KL,,,
32,"R21, R4",2,470K,,0603,$0.010,$0.040,,RC0603FR-07470KL,,,
33,R22,1,150K,,0603,$0.017,$0.034,,0603WAF1503T5E,,,
34,R3,1,150K,,0402,$0.010,$0.020,,0402WGF1503TCE,,,
35,R6,1,100k,,0402,$0.008,$0.016,,0402WGF1003TCE,,,
36,"S1, S2, S3",3,450404015514,,450404015514,$1.460,$8.760,,,,,
37,U1,1,BNO085,,IC_BNO085,$15.094,$15.094,1,,,,
38,"U11, U12",2,IRLML6344TRPBF,IRLML6344TRPBF,IRLML6344TRPBF,$1.001,$4.004,,,,,
39,U13,1,USBLC6-2SC6,,USBLC6_2SC6,$0.722,$1.444,,,,,
40,U14,1,TPS2113ADRBR,,TPS2113ADRBR,$1.065,$2.130,,,,,
41,"U15, U5",2,TPS62160QDSGRQ1,,DSG0008A,$0.545,$2.180,,,,,
42,U2,1,BMI088,,BMI088,$5.251,$10.502,,,,,
43,U3,1,TPS62177DQCT,,TPS62177DQCT,$0.781,$1.562,,,,,
44,U4,1,AMS1117-3.3,,SOT-223-3_TabPin2,$0.559,$1.118,,,AMS  SOT-223,,
45,U6,1,BMP390L,,XDCR_BMP390L,$4.495,$8.990,,,,,
46,U7,1,ABX00083,,ABX00083,$19.300,$19.300,1,,,,
47,U8,1,STM32F446RET6,,LQFP-64_10x10mm_P0.5mm,$4.830,$9.660,,,,,
48,U9,1,H3LIS331DL,,H3LIS331DL,$21.368,$21.368,1,,,,
49,Y1,1,16MHz crystal,,Crystal_SMD_3225-4Pin_3.2x2.5mm,,,,,X322516MMB4SI,,
50,Y2,1,NX3215SA-32.768K-STD-MUA-8,,XTAL_NX3215SA-32.768K-STD-MUA-8,$0.367,$0.734,,,,,
,,,,,,Component Cost,$146.17,,,,,
,,,,,,Shipping Cost,$43.50,,,,,
,,,,,,PCB Cost,,,,,,
,,,,,,V0 Member 0% off,$0.00,,,,,
,,,,,,All Total 2 Sets,$189.67,,,,,
